FindingID,CanonicalKey,ControlKey,Source,Title,Description,ResourceType,ResourceID,Severity,RiskScore,RemediationSLA_Days,Owner,ControlMapping,CIS_Match,ISO_NIST_Basis,ISO_27001_2022,NIST_CSF,CIS_AWS_Benchmark,RiskCategory,RemediationAction,Status,LoggedTimestamp,Environment
arn:aws:securityhub:us-east-1:123456789012:security-control/EC2.6/finding/8fa1dfeb-6466-461e-b382-af7051ad5ebb,CIS_3.9:vpc-032992f7702d627f7,CIS_3.9,AWS Security Hub,VPC flow logging should be enabled in all VPCs,This control checks whether Amazon Virtual Private Cloud flow logs are found and enabled for Amazon VPCs. The traffic type is set to 'Reject'.,AwsEc2Vpc,vpc-032992f7702d627f7,MEDIUM,5,30,Security Operations,MAPPED,exact,analyst-assigned (indicative),"A.8.15 (Logging), A.8.20 (Network Security)","DE.CM-1 (Network and Asset Monitoring), PR.PT-4 (Network Protection)",3.9 (Ensure VPC flow logging is enabled in all VPCs),Logging & Monitoring / Audit Trail,Create VPC flow logs for all active and default VPCs to CloudWatch Logs or S3.,OPEN,2026-09-19T18:31:11.735Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/EC2.7/finding/ab1a43c9-b6c1-4e51-addf-046ae320aa0a,CIS_2.2.1:account,CIS_2.2.1,AWS Security Hub,EBS default encryption should be enabled,This control checks whether Amazon Elastic Block Store (EBS) encryption is enabled by default. The control fails if EBS default encryption is not enabled.,AwsAccount,account,MEDIUM,5,30,Data Protection Team,MAPPED,closest,analyst-assigned (indicative),A.8.24 (Use of Cryptography),PR.DS-1 (Data-at-Rest Protection),2.2.1 (Ensure EBS Volume Encryption is Enabled),Data Confidentiality / Cryptographic Controls,Enable EBS default encryption using AWS KMS (aws/ebs or customer-managed CMK). Snapshot volume and re-create with encryption enabled.,OPEN,2026-09-19T18:31:14.403Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/CloudWatch.7/finding/d85746ae-7dbf-4b82-9723-26ad3cb30111,CloudWatch.7:account,CloudWatch.7,AWS Security Hub,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs,Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. It is recommended that a metric filter and alarm be established for customer created CMKs whic,AwsAccount,account,LOW,2,90,Cloud Platform Team,UNMAPPED,none,analyst-assigned (indicative),Not mapped,Not mapped,Not mapped,Cloud Governance / Unmapped Finding,Review finding in AWS Console and assess control remediation.,OPEN,2026-09-19T19:36:09.214Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/S3.20/finding/20c85e3f-edd8-4f5f-b0ee-b4470170e9a7,CIS_2.1.3:cloud-compliance-demo-config-cezeajty,CIS_2.1.3,AWS Security Hub,S3 general purpose buckets should have MFA delete enabled,This control checks whether multi-factor authentication (MFA) delete is enabled for an Amazon S3 general purpose bucket. The control fails if MFA delete is not enabled for the bucket. The control doesn't produce findings for buckets that have a lifec,AwsS3Bucket,cloud-compliance-demo-config-cezeajty,LOW,2,90,Data Protection Team,MAPPED,exact,analyst-assigned (indicative),"A.8.10 (Information Deletion), A.5.15 (Access Control)","PR.DS-1 (Data-at-Rest Protection), PR.AC-4 (Access Permissions Enforced)",2.1.3 (Ensure MFA Delete is Enabled on S3 Buckets),Data Exposure / Confidentiality,Enable versioning and configure MFA Delete on the S3 bucket via the AWS CLI using root credentials.,OPEN,2026-09-19T18:31:27.789Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/CloudWatch.12/finding/93abae79-9915-435c-af84-a3c7cbf4adec,CloudWatch.12:account,CloudWatch.12,AWS Security Hub,Ensure a log metric filter and alarm exist for changes to network gateways,Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. Network gateways are required to send/receive traffic to a destination outside of a VPC. It is,AwsAccount,account,LOW,2,90,Cloud Platform Team,UNMAPPED,none,analyst-assigned (indicative),Not mapped,Not mapped,Not mapped,Cloud Governance / Unmapped Finding,Review finding in AWS Console and assess control remediation.,OPEN,2026-09-19T19:36:09.180Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/S3.20/finding/aec62c1f-d073-4408-9646-3773ba9aac26,CIS_2.1.3:cloud-compliance-demo-risk-register-adlqd9up,CIS_2.1.3,AWS Security Hub,S3 general purpose buckets should have MFA delete enabled,This control checks whether multi-factor authentication (MFA) delete is enabled for an Amazon S3 general purpose bucket. The control fails if MFA delete is not enabled for the bucket. The control doesn't produce findings for buckets that have a lifec,AwsS3Bucket,cloud-compliance-demo-risk-register-adlqd9up,LOW,2,90,Data Protection Team,MAPPED,exact,analyst-assigned (indicative),"A.8.10 (Information Deletion), A.5.15 (Access Control)","PR.DS-1 (Data-at-Rest Protection), PR.AC-4 (Access Permissions Enforced)",2.1.3 (Ensure MFA Delete is Enabled on S3 Buckets),Data Exposure / Confidentiality,Enable versioning and configure MFA Delete on the S3 bucket via the AWS CLI using root credentials.,OPEN,2026-09-19T18:31:27.790Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/CloudWatch.11/finding/2b189115-eceb-4171-acd2-b9a1d723991f,CloudWatch.11:account,CloudWatch.11,AWS Security Hub,Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL),Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. NACLs are used as a stateless packet filter to control ingress and egress traffic for subnets ,AwsAccount,account,LOW,2,90,Cloud Platform Team,UNMAPPED,none,analyst-assigned (indicative),Not mapped,Not mapped,Not mapped,Cloud Governance / Unmapped Finding,Review finding in AWS Console and assess control remediation.,OPEN,2026-09-19T19:36:09.175Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/S3.20/finding/a07d554a-fb3d-474d-be0b-a39d929d3e61,CIS_2.1.3:cloud-compliance-demo-public-demo-oxcof074,CIS_2.1.3,AWS Security Hub,S3 general purpose buckets should have MFA delete enabled,This control checks whether multi-factor authentication (MFA) delete is enabled for an Amazon S3 general purpose bucket. The control fails if MFA delete is not enabled for the bucket. The control doesn't produce findings for buckets that have a lifec,AwsS3Bucket,cloud-compliance-demo-public-demo-oxcof074,LOW,2,90,Data Protection Team,MAPPED,exact,analyst-assigned (indicative),"A.8.10 (Information Deletion), A.5.15 (Access Control)","PR.DS-1 (Data-at-Rest Protection), PR.AC-4 (Access Permissions Enforced)",2.1.3 (Ensure MFA Delete is Enabled on S3 Buckets),Data Exposure / Confidentiality,Enable versioning and configure MFA Delete on the S3 bucket via the AWS CLI using root credentials.,OPEN,2026-09-19T18:31:27.790Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/CloudWatch.5/finding/1cf0a197-1ae7-41e4-9452-13a7c5c8c265,CloudWatch.5:account,CloudWatch.5,AWS Security Hub,Ensure a log metric filter and alarm exist for CloudTrail configuration changes,Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. It is recommended that a metric filter and alarm be established for detecting changes to Cloud,AwsAccount,account,LOW,2,90,Cloud Platform Team,UNMAPPED,none,analyst-assigned (indicative),Not mapped,Not mapped,Not mapped,Cloud Governance / Unmapped Finding,Review finding in AWS Console and assess control remediation.,OPEN,2026-09-19T19:36:09.202Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/IAM.16/finding/0c4b206e-53f5-4e30-89f0-1cc022c29464,CIS_1.9:account,CIS_1.9,AWS Security Hub,Ensure IAM password policy prevents password reuse,IAM password policies can prevent the reuse of a given password by the same user. It is recommended that the password policy prevent the reuse of passwords.,AwsAccount,account,LOW,2,90,Identity & Access Team,MAPPED,exact,analyst-assigned (indicative),A.5.17 (Authentication Information),PR.AC-1 (Identities and Credentials Issued),1.9 (Ensure IAM password policy prevents password reuse),Identity Governance / Credential Compromise,Set password reuse prevention to 24 in IAM password policy.,OPEN,2026-09-19T18:31:04.968Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/IAM.18/finding/5a3c7e5a-02d4-4f16-9a4d-7778f1d357c3,CIS_1.17:account,CIS_1.17,AWS Security Hub,Ensure a support role has been created to manage incidents with AWS Support,"AWS provides a support center that can be used for incident notification and response, as well as technical support and customer services. Create an IAM Role to allow authorized users to manage incidents with AWS Support.",AwsAccount,account,LOW,2,90,Cloud Platform Team,MAPPED,closest,analyst-assigned (indicative),A.5.24 (Incident Management Planning),RS.CO-1 (Personnel Know Roles in Response),1.17 (Ensure a support role has been created for AWS Support),Security Governance & Operations,Create an IAM role with AWSSupportAccess managed policy attached.,OPEN,2026-09-19T18:31:05.299Z,sandbox
